Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
3,Patrick Kruskal ,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
3,Patrick KruskalIV,-0.9299275,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
3,Patrick KruskalV,-0.02234703,-0.4342896,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
3,Patrick KruskalIII,-0.02234703,-0.4342896,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
3,John HayesII,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,0.5368711,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
3,Patrick BraitenbergII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,0.1351,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
3,Patrick Braitenberg ,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,0.1351,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
3,Frank Hayes ,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,-0.1349373,-0.1575609,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
4,Patrick KruskalIII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.8985479,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
4,John Braitenberg ,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.5341147,0.6834527,0.6619344,-0.88017,-0.6816902,-0.6859149
4,Patrick Minsky ,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,-0.9234106,-0.6293245
4,Patrick MinskyII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,-0.9234106,-0.6293245
4,Patrick MinskyVI,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,-0.9234106,-0.6293245
4,Patrick MinskyIII,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
4,Patrick MinskyIV,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
4,Patrick MinskyV,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.101527,-0.09704024,-0.5341147,0.6834527,0.6619344,-0.88017,0.3094462,-0.6859149
4,Patrick Braitenberg ,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,-0.128925,0.6228584,-0.9387265,0.07005084,-0.6780632,0.4032208,-0.2463397,0.003482461
4,Patrick RosenblattV,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.101527,-0.09704024,-0.3513807,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
4,Patrick KruskalII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
4,Patrick Searle ,-0.9299275,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.3513807,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
4,Patrick SearleII,-0.9299275,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.3513807,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
4,Patrick Kruskal ,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,-0.5483015,-0.128925,0.6228584,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
4,John Kruskal ,0.6512982,0.521021,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
4,Patrick Rosenblatt ,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.8985479,0.7598686,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
4,Patrick RosenblattVI,-0.801448,0.9101939,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.9387265,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
4,Patrick RosenblattII,-0.801448,0.9101939,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.9387265,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
4,Patrick RosenblattIII,-0.9299275,0.9101939,-0.3520411,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
4,Patrick RosenblattIV,-0.9299275,0.9101939,-0.3520411,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
5,Frank MinskyII,-0.801448,0.9101939,-0.6127914,-0.8725321,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,-0.9234106,-0.6293245
5,Patrick MinskyVII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,-0.9234106,-0.6293245
5,Patrick MinskyII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
5,Patrick MinskyIV,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
5,Patrick MinskyV,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
5,Frank Minsky ,-0.801448,0.9101939,-0.6127914,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
5,Patrick MinskyVI,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
5,Patrick Braitenberg ,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,-0.128925,0.6228584,-0.9387265,0.07005084,-0.6780632,0.4032208,-0.2463397,0.003482461
