Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
3,Patrick SearleVI,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
3,Patrick SearleIX,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.7934316,0.8570812,-0.5363922
3,Patrick SearleIV,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
3,Patrick SearleV,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
3,Patrick SearleII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
3,Frank SearleII,-0.4010284,-0.07067925,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
3,John RosenblattII,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
3,John Rosenblatt ,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
3,John RosenblattIII,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
3,Frank Hayes ,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.8819762,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
3,Frank Braitenberg ,-0.3802658,-0.00967598,0.7302871,0.6582942,-0.2317106,0.5038576,-0.4933251,-0.5277922,-0.4625982,0.9613951,0.6021696,-0.2938573,0.1081061,-0.8925951,-0.2034497,-0.9280427
3,Frank BraitenbergII,-0.3802658,-0.00967598,0.7302871,0.6582942,-0.2317106,0.5038576,-0.4933251,-0.5277922,-0.4625982,0.9613951,0.6021696,-0.2938573,0.1081061,-0.8925951,-0.2034497,-0.9280427
3,Patrick SearleX,0.4489231,0.2359192,0.8801545,-0.2491367,-0.3671857,-0.8348258,0.1421112,0.7765474,0.1648831,-0.4931302,0.9284717,0.8107671,0.7615685,0.4888278,0.03851473,-0.1786842
3,Frank Searle ,-0.4010284,0.8725772,0.03750658,0.5781723,-0.5619545,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
3,Patrick SearleIII,-0.3715882,0.7783389,-0.4664865,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.4982657,0.2795982,0.9026937,-0.465603
